Ano;Homicídio Doloso por 100 mil habitantes;Furto por 100 mil habitantes;Roubo por 100 mil habitantes;Furto e Roubo de Veículo por 100 mil habitantes;Furto por 100 mil veículos;Roubo por 100 mil veículos;Furto e Roubo de Veículo por 100 mil veículos;Cidade;Regiao
2010;7,25;573,65;471,61;201,44;0;0;0;São Vicente;Santos
2011;6,62;646,24;529,14;186,56;1,91;1,91;3,82;São Vicente;Santos
2012;6,1;710,13;642,83;212,35;797,16;385,61;1.182,77;São Vicente;Santos
2013;6,12;658,84;609,56;231,65;671,62;580,03;1.251,65;São Vicente;Santos
2014;5,71;576,94;634,64;204,91;544,4;523,49;1.067,89;São Vicente;Santos
2015;3,95;478,15;471,78;149,47;417,36;343,93;761,29;São Vicente;Santos
2016;2,99;429,25;601,7;171,25;386,55;479,42;865,97;São Vicente;Santos
2017;3,82;454,77;494,44;169,42;321,7;529,03;850,72;São Vicente;Santos
2018;3,76;450,3;410,42;126,98;266,99;363,88;630,87;São Vicente;Santos
2019;2,42;490,03;418,22;98,69;233,91;246,36;480,27;São Vicente;Santos
2020;2,1;458,96;320,07;79,25;225,28;153,08;378,36;São Vicente;Santos
;;;;;;;;Sete Barras;Santos
;;;;;;;;Águas de Santa Bárbara;Sorocaba
;;;;;;;;Alambari;Sorocaba
;;;;;;;;Alumínio;Sorocaba
;;;;;;;;Angatuba;Sorocaba
;;;;;;;;Anhembi;Sorocaba
;;;;;;;;Apiaí;Sorocaba
;;;;;;;;Araçariguama;Sorocaba
;;;;;;;;Araçoiaba da Serra;Sorocaba
;;;;;;;;Arandu;Sorocaba
;;;;;;;;Areiópolis;Sorocaba
;;;;;;;;Avaré;Sorocaba
;;;;;;;;Barão de Antonina;Sorocaba
;;;;;;;;Barra do Chapéu;Sorocaba
;;;;;;;;Bofete;Sorocaba
;;;;;;;;Boituva;Sorocaba
;;;;;;;;Bom Sucesso de Itararé;Sorocaba
1999;10,38;1.934,89;184,05;164,23;-;-;-;Botucatu;Sorocaba
2000;13,9;2.406,14;165,85;277,03;-;-;-;Botucatu;Sorocaba
2001;11,81;2.023,47;188,91;249,75;634,62;57,92;692,54;Botucatu;Sorocaba
2002;20,53;2.123,90;182,94;225,78;517,62;85,87;603,49;Botucatu;Sorocaba
2003;11,4;2.074,45;181,57;167,54;372,04;63,91;435,95;Botucatu;Sorocaba
2004;12,08;1.926,89;114,77;138,93;315,22;34,78;350,01;Botucatu;Sorocaba
2005;2,55;2.006,37;112,08;185,95;423,34;31,13;454,47;Botucatu;Sorocaba
2006;9,19;1.847,55;153,75;166,29;370,83;17,57;388,39;Botucatu;Sorocaba
2007;5,76;1.850,51;157,98;138,23;278,59;25,33;303,92;Botucatu;Sorocaba
2008;4,86;1.621,75;122,32;137,71;266,44;18,43;284,87;Botucatu;Sorocaba
2009;3,19;1.326,21;186,72;200,29;380,81;14,16;394,98;Botucatu;Sorocaba
2010;1,57;1.017,65;80,22;81;140,16;10,22;150,38;Botucatu;Sorocaba
2011;5,44;1.040,73;66,07;62,18;100,26;8,13;108,38;Botucatu;Sorocaba
2012;6,91;967,87;46,09;69,13;109,27;5,08;114,35;Botucatu;Sorocaba
2013;6,07;1.202,52;72,88;121,47;185,27;7,22;192,49;Botucatu;Sorocaba
2014;5,25;953,62;63,02;55,52;74,83;10,36;85,19;Botucatu;Sorocaba
2015;1,48;919,49;43,75;44,49;59,87;6,65;66,52;Botucatu;Sorocaba
2016;1,47;996,39;54,38;33,8;47,2;2,15;49,35;Botucatu;Sorocaba
2017;3,64;822,08;43,69;25,49;34,38;2,08;36,47;Botucatu;Sorocaba
2018;2,85;715,56;31,39;20,69;28,22;1,01;29,23;Botucatu;Sorocaba
2019;4,93;732,95;25,37;25,37;32,79;1,93;34,72;Botucatu;Sorocaba
2020;5,57;476,96;25,07;34,12;39,47;6,58;46,04;Botucatu;Sorocaba
;;;;;;;;Buri;Sorocaba
;;;;;;;;Campina do Monte Alegre;Sorocaba
;;;;;;;;Capão Bonito;Sorocaba
;;;;;;;;Capela do Alto;Sorocaba
;;;;;;;;Cerqueira César;Sorocaba
;;;;;;;;Cerquilho;Sorocaba
;;;;;;;;Cesário Lange;Sorocaba
;;;;;;;;Conchas;Sorocaba
;;;;;;;;Coronel Macedo;Sorocaba
;;;;;;;;Fartura;Sorocaba
;;;;;;;;Guapiara;Sorocaba
;;;;;;;;Guareí;Sorocaba
;;;;;;;;Iaras;Sorocaba
;;;;;;;;Ibiúna;Sorocaba
;;;;;;;;Iperó;Sorocaba
;;;;;;;;Itaberá;Sorocaba
;;;;;;;;Itaí;Sorocaba
;;;;;;;;Itaóca;Sorocaba
1999;7,38;1.254,66;178,65;66,38;-;-;-;Itapetininga;Sorocaba
2000;10,4;1.406,15;175,27;110,44;-;-;-;Itapetininga;Sorocaba
2001;11,76;1.331,27;170,92;154,45;488,38;94,72;583,1;Itapetininga;Sorocaba
2002;6,94;1.691,46;178,25;141,21;447,85;54,95;502,8;Itapetininga;Sorocaba
2003;13,68;2.046,50;189,29;129,24;388,91;51,86;440,77;Itapetininga;Sorocaba
2004;12,74;1.741,39;260,01;143,87;421,81;46,33;468,13;Itapetininga;Sorocaba
2005;11,81;1.733,84;263,62;104,86;285,61;41,46;327,07;Itapetininga;Sorocaba
2006;5,1;1.599,48;207,58;114,35;320,55;19,49;340,04;Itapetininga;Sorocaba
2007;5,75;1.441,88;182,66;76,95;207,44;8,06;215,5;Itapetininga;Sorocaba
2008;8,52;1.344,21;146,99;66,75;153,14;22,41;175,55;Itapetininga;Sorocaba
2009;9,12;1.491,73;226,64;124,19;265,07;41,58;306,65;Itapetininga;Sorocaba
2010;7,63;1.255,12;166,43;88,07;168,89;33,46;202,35;Itapetininga;Sorocaba
2011;7,54;1.161,88;165,98;69,96;119,66;29,19;148,84;Itapetininga;Sorocaba
2012;6,78;1.093,60;126,18;59,02;97,23;20,26;117,49;Itapetininga;Sorocaba
2013;3,36;1.185,02;148,97;110,05;181,96;25,27;207,23;Itapetininga;Sorocaba
2014;5,31;1.022,12;142,03;135,4;207,22;34,34;241,55;Itapetininga;Sorocaba
2015;8,53;1.127,17;137,86;131,95;207,07;20,37;227,43;Itapetininga;Sorocaba
2016;3,25;1.039,25;156,63;104,64;154,67;20,7;175,37;Itapetininga;Sorocaba
2017;2,57;1.035,97;170,52;93,3;126,37;26,33;152,69;Itapetininga;Sorocaba
2018;1,9;884,75;139,53;110,99;148,68;29,53;178,21;Itapetininga;Sorocaba
2019;6,27;974,91;115,43;96,61;133,5;16,57;150,06;Itapetininga;Sorocaba
2020;3,72;744,75;94,34;44,06;53,01;14,2;67,21;Itapetininga;Sorocaba
;;;;;;;;Itapeva;Sorocaba
;;;;;;;;Itapirapuã Paulista;Sorocaba
;;;;;;;;Itaporanga;Sorocaba
;;;;;;;;Itararé;Sorocaba
;;;;;;;;Itatinga;Sorocaba
1999;28,85;1.130,41;510,17;508,65;-;-;-;Itu;Sorocaba
2000;20,73;965,4;464,93;419,03;-;-;-;Itu;Sorocaba
2001;26,96;1.057,40;421,21;405,91;918,1;317,12;1.235,23;Itu;Sorocaba
2002;25,14;1.076,00;352,68;391,47;841,29;285,25;1.126,55;Itu;Sorocaba
2003;15,59;1.457,97;453,4;382,56;734,47;326;1.060,47;Itu;Sorocaba
2004;19,57;1.530,72;310,34;337,6;581,83;316,01;897,84;Itu;Sorocaba
2005;15,17;1.413,84;334,49;381,39;691,07;276,43;967,49;Itu;Sorocaba
2006;14,98;1.489,37;276,49;304,41;590,97;134,75;725,72;Itu;Sorocaba
2007;13,46;1.451,86;273,15;390,89;708,76;161,83;870,59;Itu;Sorocaba
2008;12,63;1.353,68;243,34;399,59;665,42;152,41;817,83;Itu;Sorocaba
2009;10,52;1.419,79;262,92;479,18;762,87;159,4;922,27;Itu;Sorocaba
2010;8,44;1.659,85;277,29;339,63;520,57;84,45;605,02;Itu;Sorocaba
2011;14,78;1.346,88;329,01;276,32;364,29;92,4;456,68;Itu;Sorocaba
2012;15,9;1.340,46;318,58;297,6;376,73;87,24;463,97;Itu;Sorocaba
2013;13,84;1.242,10;356,77;422,21;487,77;140,43;628,2;Itu;Sorocaba
2014;14,94;1.173,67;373,58;409,07;442,88;147,33;590,21;Itu;Sorocaba
2015;9,24;1.577,86;398,01;338,86;337,99;143,6;481,59;Itu;Sorocaba
2016;7,94;1.252,94;393,83;223,48;236,2;80,46;316,66;Itu;Sorocaba
2017;7,87;948,85;286,23;332,22;387,95;75,06;463,01;Itu;Sorocaba
2018;5,97;835,19;156,9;279,19;327,34;56,61;383,95;Itu;Sorocaba
2019;4,72;797,62;168,85;175,35;187,06;46,37;233,43;Itu;Sorocaba
2020;7,01;449,95;96,42;85,9;85,26;27,65;112,91;Itu;Sorocaba
;;;;;;;;Jumirim;Sorocaba
;;;;;;;;Laranjal Paulista;Sorocaba
;;;;;;;;Mairinque;Sorocaba
;;;;;;;;Manduri;Sorocaba
;;;;;;;;Nova Campina;Sorocaba
;;;;;;;;Paranapanema;Sorocaba
;;;;;;;;Pardinho;Sorocaba
;;;;;;;;Pereiras;Sorocaba
;;;;;;;;Piedade;Sorocaba
;;;;;;;;Pilar do Sul;Sorocaba
;;;;;;;;Piraju;Sorocaba
;;;;;;;;Porangaba;Sorocaba
;;;;;;;;Porto Feliz;Sorocaba
;;;;;;;;Pratânia;Sorocaba
;;;;;;;;Quadra;Sorocaba
;;;;;;;;Ribeira;Sorocaba
;;;;;;;;Ribeirão Branco;Sorocaba
;;;;;;;;Ribeirão Grande;Sorocaba
;;;;;;;;Riversul;Sorocaba
1999;12,14;891,66;248,3;258,23;-;-;-;Salto;Sorocaba
2000;12,91;674,67;284,07;204,45;-;-;-;Salto;Sorocaba
2001;13,78;753,63;290,43;291,49;871,14;237,95;1.109,10;Salto;Sorocaba
2002;19,86;876,8;330,24;402,35;1.187,93;254,82;1.442,76;Salto;Sorocaba
2003;35,06;1.212,81;447,58;410,46;1.104,50;313,54;1.418,04;Salto;Sorocaba
2004;39,72;1.097,85;329,97;205,72;497,36;176,91;674,28;Salto;Sorocaba
2005;17,1;1.110,35;331,9;277,59;678,9;176,7;855,6;Salto;Sorocaba
2006;17,88;916,09;317,95;252,37;611,46;121,14;732,6;Salto;Sorocaba
2007;17,68;724,85;267,15;387,96;914,88;129,56;1.044,45;Salto;Sorocaba
2008;13,6;741,94;196,17;296,19;621,19;110,33;731,52;Salto;Sorocaba
2009;13,44;702,82;222,75;309,16;523,57;187,78;711,35;Salto;Sorocaba
2010;6,64;746,63;213,46;209,66;349,63;97,01;446,64;Salto;Sorocaba
2011;10,34;682,24;304,47;215,2;324,3;97,66;421,96;Salto;Sorocaba
2012;14,89;707,42;250,39;230,84;348,39;75,14;423,53;Salto;Sorocaba
2013;8,3;660,16;298,73;342,99;466,15;131,81;597,96;Salto;Sorocaba
2014;9,13;621,03;269,42;369,88;460,56;157,08;617,63;Salto;Sorocaba
2015;6,33;581,68;299,43;388,09;485,06;147,43;632,49;Salto;Sorocaba
2016;4,48;732,79;269,97;323,79;418,11;98,8;516,91;Salto;Sorocaba
2017;6,23;636,73;181,42;249,89;347,56;43,1;390,66;Salto;Sorocaba
2018;6,14;536,57;156,94;267,41;361,51;46,86;408,37;Salto;Sorocaba
2019;4,34;534,77;113,73;244,82;316,99;43,46;360,44;Salto;Sorocaba
2020;3,44;423,83;73,93;131,53;163,14;27,4;190,53;Salto;Sorocaba
;;;;;;;;Salto de Pirapora;Sorocaba
;;;;;;;;São Manuel;Sorocaba
;;;;;;;;São Miguel Arcanjo;Sorocaba
;;;;;;;;São Roque;Sorocaba
;;;;;;;;Sarapuí;Sorocaba
;;;;;;;;Sarutaiá;Sorocaba
1999;20,01;1.250,77;394,9;310,5;-;-;-;Sorocaba;Sorocaba
2000;23,51;1.214,00;365,82;279,28;-;-;-;Sorocaba;Sorocaba
2001;23,89;1.527,24;398,93;311,14;709,01;211,41;920,41;Sorocaba;Sorocaba
2002;25,97;1.538,81;387,05;316,55;674,61;222,47;897,09;Sorocaba;Sorocaba
2003;23,2;1.824,99;392,79;313,81;685,64;174,43;860,07;Sorocaba;Sorocaba
2004;20,15;1.690,65;357,98;343,85;771,02;135,54;906,55;Sorocaba;Sorocaba
2005;18,69;1.608,50;371,31;328,73;689,24;136,73;825,98;Sorocaba;Sorocaba
2006;15,11;1.375,53;267,97;273,25;513,45;133,1;646,55;Sorocaba;Sorocaba
2007;9,67;1.392,25;242,85;252,34;457,41;104,48;561,9;Sorocaba;Sorocaba
2008;12,16;1.117,95;227,68;244,42;390,01;118,88;508,89;Sorocaba;Sorocaba
2009;10,93;1.331,62;358,93;311,91;442,48;169,5;611,99;Sorocaba;Sorocaba
2010;10,07;1.291,44;308,82;408,17;615,01;121,34;736,35;Sorocaba;Sorocaba
2011;8,6;1.250,20;340,37;400,21;548,95;119,36;668,31;Sorocaba;Sorocaba
2012;10,82;1.307,69;372,91;521,74;680,63;141,69;822,32;Sorocaba;Sorocaba
2013;9,7;1.288,90;342,12;591,51;673,07;211,09;884,15;Sorocaba;Sorocaba
2014;13,8;1.251,39;423,08;573,42;602,43;227,11;829,54;Sorocaba;Sorocaba
2015;8,5;1.147,92;477,76;568,03;594,17;210,24;804,42;Sorocaba;Sorocaba
2016;9,83;1.193,56;576,8;408,22;436,92;136,29;573,21;Sorocaba;Sorocaba
2017;8,79;1.210,16;597,55;366,94;379,37;130,31;509,67;Sorocaba;Sorocaba
2018;7,69;1.200,96;385,76;347,92;376,32;106,24;482,56;Sorocaba;Sorocaba
2019;7,14;1.045,81;292,73;255,07;269,19;77,89;347,07;Sorocaba;Sorocaba
2020;7,49;733,76;205,66;169,84;165,28;65,05;230,33;Sorocaba;Sorocaba
;;;;;;;;Taguaí;Sorocaba
;;;;;;;;Tapiraí;Sorocaba
;;;;;;;;Taquarituba;Sorocaba
;;;;;;;;Taquarivaí;Sorocaba
1999;11;1.004,14;210,07;305,75;-;-;-;Tatuí;Sorocaba
2000;21,48;1.072,98;262,07;329,74;-;-;-;Tatuí;Sorocaba
2001;31,66;1.162,03;259,64;320,85;916,4;155,08;1.071,48;Tatuí;Sorocaba
2002;17,66;1.429,70;264,95;342,88;872,4;213,98;1.086,38;Tatuí;Sorocaba
2003;35,84;1.651,60;381,93;338,92;877,27;148,8;1.026,07;Tatuí;Sorocaba
2004;24,23;1.516,27;260,45;262,47;631,1;128,56;759,66;Tatuí;Sorocaba
2005;23,89;1.164,45;323,46;251,8;559,21;134,32;693,53;Tatuí;Sorocaba
2006;14,72;1.382,80;283,63;214,93;441,89;117,5;559,39;Tatuí;Sorocaba
2007;8,72;1.232,19;265,42;157,9;355,04;33,36;388,4;Tatuí;Sorocaba
2008;8,61;1.165,48;232,52;160,76;314,17;54,92;369,09;Tatuí;Sorocaba
2009;11,34;962,12;250,45;250,45;443,41;88,28;531,69;Tatuí;Sorocaba
2010;9,33;1.001,85;208,95;142,72;209,71;69,3;279;Tatuí;Sorocaba
2011;4,61;737,38;163,15;146,55;233,35;31,67;265,01;Tatuí;Sorocaba
2012;5,46;699,46;153,92;188,53;258,31;61,87;320,19;Tatuí;Sorocaba
2013;3,6;820,72;160,18;176,38;222,98;58,98;281,97;Tatuí;Sorocaba
2014;9,78;809,18;239,2;212,52;279,14;46,3;325,44;Tatuí;Sorocaba
2015;5,27;795,16;160,79;141,46;167,74;43,25;210,99;Tatuí;Sorocaba
2016;1,74;787,49;216,43;147,76;172,05;44,61;216,65;Tatuí;Sorocaba
2017;6,02;822,9;189,17;170,26;209,34;35,92;245,26;Tatuí;Sorocaba
2018;6,79;818,11;137,48;162,1;197,39;31,1;228,5;Tatuí;Sorocaba
2019;3,36;637,72;88,95;135,1;158,83;26,47;185,3;Tatuí;Sorocaba
2020;6,64;434,8;50,62;81,32;85,33;24,7;110,03;Tatuí;Sorocaba
;;;;;;;;Tejupá;Sorocaba
;;;;;;;;Tietê;Sorocaba
;;;;;;;;Torre de Pedra;Sorocaba
1999;17,06;667,28;228,11;89,54;-;-;-;Votorantim;Sorocaba
2000;12,53;590,93;183,75;103,36;-;-;-;Votorantim;Sorocaba
2001;10,29;895,88;189,26;140,91;531,57;107,25;638,81;Votorantim;Sorocaba
2002;20,28;832,66;190,67;133,87;496,53;68,49;565,02;Votorantim;Sorocaba
2003;22,01;1.056,26;183,05;132,03;432,93;91,35;524,29;Votorantim;Sorocaba
2004;20,72;763,86;191,46;139,15;442,48;73,14;515,61;Votorantim;Sorocaba
2005;18,5;977,8;187,96;141,22;402,83;83,92;486,76;Votorantim;Sorocaba
2006;10,58;1.078,10;150,99;127,91;285,05;122,6;407,65;Votorantim;Sorocaba
2007;13,31;971,39;146,37;118,81;309,66;39,06;348,71;Votorantim;Sorocaba
2008;8,46;1.017,04;163,55;108,1;247,1;48,9;296;Votorantim;Sorocaba
2009;16,74;826,81;190,66;155,32;275,4;121,08;396,49;Votorantim;Sorocaba
2010;5,52;887,81;214,36;147,2;326,25;26,45;352,7;Votorantim;Sorocaba
2011;6,37;904,21;240,39;85,59;141,21;48,41;189,62;Votorantim;Sorocaba
2012;14,42;863,4;283,89;123,47;196,94;62,49;259,43;Votorantim;Sorocaba
2013;8,92;777,85;231,04;198,92;314,75;81,8;396,55;Votorantim;Sorocaba
2014;5,3;737,22;224,25;185,41;255,66;95,24;350,9;Votorantim;Sorocaba
2015;6,12;668,49;176,52;187,88;295,56;47,93;343,49;Votorantim;Sorocaba
2016;11,26;743,76;170,57;193,08;266,74;79,09;345,83;Votorantim;Sorocaba
2017;9,44;820,16;187,88;138,98;191,57;52,79;244,36;Votorantim;Sorocaba
2018;10,16;672,27;127;127,85;181,39;37,73;219,12;Votorantim;Sorocaba
2019;3,35;598,45;108,96;111,48;141,85;43,11;184,96;Votorantim;Sorocaba
2020;3,32;516,15;102,07;87,13;115,01;25,41;140,42;Votorantim;Sorocaba
;;;;;;;;Adamantina;Presidente Prudente
;;;;;;;;Alfredo Marcondes;Presidente Prudente
;;;;;;;;Álvares Machado;Presidente Prudente
;;;;;;;;Anhumas;Presidente Prudente
;;;;;;;;Assis;Presidente Prudente
;;;;;;;;Caiabu;Presidente Prudente
;;;;;;;;Caiuá;Presidente Prudente
;;;;;;;;Campos Novos Paulista;Presidente Prudente
;;;;;;;;Cândido Mota;Presidente Prudente
;;;;;;;;Cruzália;Presidente Prudente
;;;;;;;;Dracena;Presidente Prudente
;;;;;;;;Emilianópolis;Presidente Prudente
;;;;;;;;Estrela do Norte;Presidente Prudente
;;;;;;;;Euclides da Cunha Paulista;Presidente Prudente
;;;;;;;;Flora Rica;Presidente Prudente
;;;;;;;;Flórida Paulista;Presidente Prudente
;;;;;;;;Florínia;Presidente Prudente
;;;;;;;;Ibirarema;Presidente Prudente
;;;;;;;;Iepê;Presidente Prudente
;;;;;;;;Indiana;Presidente Prudente
;;;;;;;;Inúbia Paulista;Presidente Prudente
;;;;;;;;Irapuru;Presidente Prudente
;;;;;;;;João Ramalho;Presidente Prudente
;;;;;;;;Junqueirópolis;Presidente Prudente
;;;;;;;;Lucélia;Presidente Prudente
;;;;;;;;Lutécia;Presidente Prudente
;;;;;;;;Marabá Paulista;Presidente Prudente
;;;;;;;;Maracaí;Presidente Prudente
;;;;;;;;Mariápolis;Presidente Prudente
;;;;;;;;Martinópolis;Presidente Prudente
;;;;;;;;Mirante do Paranapanema;Presidente Prudente
;;;;;;;;Monte Castelo;Presidente Prudente
;;;;;;;;Nantes;Presidente Prudente
;;;;;;;;Narandiba;Presidente Prudente
;;;;;;;;Nova Guataporanga;Presidente Prudente
;;;;;;;;Osvaldo Cruz;Presidente Prudente
;;;;;;;;Ouro Verde;Presidente Prudente
;;;;;;;;Pacaembu;Presidente Prudente
;;;;;;;;Palmital;Presidente Prudente
;;;;;;;;Panorama;Presidente Prudente
;;;;;;;;Paraguaçu Paulista;Presidente Prudente
;;;;;;;;Paulicéia;Presidente Prudente
;;;;;;;;Pedrinhas Paulista;Presidente Prudente
;;;;;;;;Piquerobi;Presidente Prudente
;;;;;;;;Pirapozinho;Presidente Prudente
;;;;;;;;Platina;Presidente Prudente
;;;;;;;;Pracinha;Presidente Prudente
;;;;;;;;Presidente Bernardes;Presidente Prudente
;;;;;;;;Presidente Epitácio;Presidente Prudente
1999;6,98;707,24;136,3;52,59;-;-;-;Presidente Prudente;Presidente Prudente
2000;11,12;1.101,30;152,49;53,48;-;-;-;Presidente Prudente;Presidente Prudente
2001;8,89;1.882,56;212,89;66,43;163,47;26,99;190,46;Presidente Prudente;Presidente Prudente
2002;10,35;1.615,65;159,39;64,17;152,31;25,86;178,17;Presidente Prudente;Presidente Prudente
2003;18,45;1.733,70;183,47;43,05;102,53;13,86;116,38;Presidente Prudente;Presidente Prudente
2004;13,71;1.863,28;257,41;63,97;153,79;10,43;164,21;Presidente Prudente;Presidente Prudente
2005;14,08;1.758,44;331,97;75,45;150,99;33,15;184,14;Presidente Prudente;Presidente Prudente
2006;6,98;1.748,98;212,77;57,8;123,63;10,4;134,03;Presidente Prudente;Presidente Prudente
2007;7,41;1.690,04;184,71;48,4;97,68;7,51;105,19;Presidente Prudente;Presidente Prudente
2008;7,84;1.666,30;193,96;60,25;112,66;8,89;121,56;Presidente Prudente;Presidente Prudente
2009;5,35;1.523,45;218,68;104,48;173,12;23,81;196,93;Presidente Prudente;Presidente Prudente
2010;8,19;1.297,19;161,97;114,73;194,27;5,89;200,16;Presidente Prudente;Presidente Prudente
2011;5,74;1.395,88;181,43;93,82;139,06;14,06;153,12;Presidente Prudente;Presidente Prudente
2012;9,03;1.266,87;150,22;87,47;130,96;4,41;135,37;Presidente Prudente;Presidente Prudente
2013;11,33;1.206,62;185,52;111,41;159,82;4,17;163,99;Presidente Prudente;Presidente Prudente
2014;5,16;1.077,29;141,58;99,38;134,28;5,95;140,23;Presidente Prudente;Presidente Prudente
2015;4,66;1.138,24;140,59;100,09;134,51;2,55;137,06;Presidente Prudente;Presidente Prudente
2016;6,02;1.234,47;133,31;128,21;168,03;3,09;171,12;Presidente Prudente;Presidente Prudente
2017;5,52;1.220,49;106,31;153,71;197,73;3;200,73;Presidente Prudente;Presidente Prudente
2018;6,37;1.094,21;90,5;118,24;148,66;3,51;152,17;Presidente Prudente;Presidente Prudente
2019;3,61;998,13;66,81;72,68;87,08;4,55;91,63;Presidente Prudente;Presidente Prudente
2020;4,93;693,72;36,75;39,88;46,49;3,36;49,85;Presidente Prudente;Presidente Prudente
;;;;;;;;Presidente Venceslau;Presidente Prudente
;;;;;;;;Rancharia;Presidente Prudente
;;;;;;;;Regente Feijó;Presidente Prudente
;;;;;;;;Ribeirão dos Índios;Presidente Prudente
;;;;;;;;Rosana;Presidente Prudente
;;;;;;;;Sagres;Presidente Prudente
;;;;;;;;Salmourão;Presidente Prudente
;;;;;;;;Sandovalina;Presidente Prudente
;;;;;;;;Santa Mercedes;Presidente Prudente
;;;;;;;;Santo Anastácio;Presidente Prudente
;;;;;;;;Santo Expedito;Presidente Prudente
;;;;;;;;São João do Pau d'Alho;Presidente Prudente
;;;;;;;;Taciba;Presidente Prudente
;;;;;;;;Tarabaí;Presidente Prudente
;;;;;;;;Tarumã;Presidente Prudente
;;;;;;;;Teodoro Sampaio;Presidente Prudente
;;;;;;;;Tupi Paulista;Presidente Prudente
;;;;;;;;Aguaí;Piracicaba
;;;;;;;;Águas da Prata;Piracicaba
;;;;;;;;Águas de São Pedro;Piracicaba
1999;13,97;1.550,07;438,8;657,93;-;-;-;Americana;Piracicaba
2000;11;1.441,73;470,31;716,19;-;-;-;Americana;Piracicaba
2001;12,41;1.252,49;476,5;671,84;1.303,50;432,18;1.735,68;Americana;Piracicaba
2002;5,31;2.039,35;544,5;580,62;1.159,63;261,31;1.420,94;Americana;Piracicaba
2003;5,23;1.618,53;591,32;568,29;1.084,05;246,21;1.330,26;Americana;Piracicaba
2004;8,77;1.692,40;433,67;602,29;1.155,32;179,41;1.334,74;Americana;Piracicaba
2005;5,59;1.504,28;477,55;719,88;1.313,51;202,16;1.515,67;Americana;Piracicaba
2006;7,51;1.452,18;371,56;737,11;1.306,06;162,63;1.468,70;Americana;Piracicaba
2007;4,94;1.516,75;433,29;673,4;1.116,98;141,24;1.258,22;Americana;Piracicaba
2008;4,39;1.279,92;435,42;515,38;757,5;152,36;909,87;Americana;Piracicaba
2009;6,74;1.267,01;530,01;564,67;816,79;141,31;958,1;Americana;Piracicaba
2010;4,75;1.093,22;447,27;647,85;904,93;143,9;1.048,83;Americana;Piracicaba
2011;6,11;1.209,59;399,28;722,94;989,04;133,48;1.122,51;Americana;Piracicaba
2012;6,04;1.133,21;355,61;594,69;755,92;117,24;873,16;Americana;Piracicaba
2013;5,51;1.175,45;335,84;574,88;686,86;118,98;805,83;Americana;Piracicaba
2014;4,53;1.205,20;324,2;622,55;705,01;140,39;845,4;Americana;Piracicaba
2015;3,58;1.121,62;265,73;613,01;724,49;97,32;821,81;Americana;Piracicaba
2016;4,88;1.217,23;433,43;615,94;734,43;80,49;814,92;Americana;Piracicaba
2017;7,04;1.320,29;322,59;591,05;702,56;70,2;772,76;Americana;Piracicaba
2018;3,9;1.080,51;283,11;577,92;679,16;68,92;748,08;Americana;Piracicaba
2019;3,42;1.068,73;258,94;484,07;545,28;68,97;614,25;Americana;Piracicaba
2020;4,23;633,57;159,56;384,71;450,67;34,13;484,8;Americana;Piracicaba
;;;;;;;;Analândia;Piracicaba
1999;5,87;1.207,58;220,98;359,83;-;-;-;Araras;Piracicaba
2000;12,5;1.280,38;228,78;428,71;-;-;-;Araras;Piracicaba
2001;10,43;1.172,38;155,43;314,66;692,27;168,53;860,79;Araras;Piracicaba
2002;9,35;1.546,43;224,39;379,6;833,11;150,15;983,27;Araras;Piracicaba
2003;10,15;1.554,60;395,8;364,43;708,91;200,24;909,15;Araras;Piracicaba
2004;16,39;1.785,52;317,77;369,67;655,42;222,8;878,22;Araras;Piracicaba
2005;9,88;1.664,80;344,1;355,78;547,14;261,32;808,46;Araras;Piracicaba
2006;8,87;1.518,58;322,69;343,96;554,34;184,78;739,12;Araras;Piracicaba
2007;5,25;1.525,78;327,39;344,9;561,62;132,04;693,66;Araras;Piracicaba
2008;5,19;1.233,78;268,89;312,12;521,92;63,21;585,14;Araras;Piracicaba
2009;6,83;1.262,67;322,71;443,94;691,3;93,58;784,88;Araras;Piracicaba
2010;5,05;943,45;276,3;360,53;519,4;81,42;600,82;Araras;Piracicaba
2011;10;1.046,01;279,21;322,55;463,4;44,63;508,03;Araras;Piracicaba
2012;11,55;1.005,28;281,21;373,58;471,71;89,14;560,85;Araras;Piracicaba
2013;10,61;883,69;250,5;415,33;533,46;63,31;596,77;Araras;Piracicaba
2014;3,23;907,45;217,18;423,86;505,57;82,95;588,52;Araras;Piracicaba
2015;5,59;859,53;219,67;334,7;379,29;74,77;454,07;Araras;Piracicaba
2016;10,29;1.008,41;239,83;310,28;376,78;38,1;414,88;Araras;Piracicaba
2017;7,06;1.096,46;210,19;298,82;334,09;59,99;394,08;Araras;Piracicaba
2018;3,09;1.066,36;207,86;317,59;335,57;76,13;411,7;Araras;Piracicaba
2019;5,35;915,88;156,72;279,81;313,05;41,68;354,73;Araras;Piracicaba
2020;12,1;686,87;142,22;221,64;237,74;39,78;277,53;Araras;Piracicaba
;;;;;;;;Artur Nogueira;Piracicaba
;;;;;;;;Brotas;Piracicaba
;;;;;;;;Caconde;Piracicaba
;;;;;;;;Capivari;Piracicaba
;;;;;;;;Casa Branca;Piracicaba
;;;;;;;;Charqueada;Piracicaba
;;;;;;;;Conchal;Piracicaba
;;;;;;;;Cordeirópolis;Piracicaba
;;;;;;;;Corumbataí;Piracicaba
;;;;;;;;Cosmópolis;Piracicaba
;;;;;;;;Divinolândia;Piracicaba
